Brooklyn,African,10F,A
Brooklyn,Caribbean,10B,A
Manhattan,Korean,09C,A
Queens,Juice, Smoothies, Fruit Salads,10F,A
Manhattan,French,10F,A
Queens,Caribbean,09B,A
Manhattan,Pizza,02G,A
Manhattan,American,10B,A
Queens,Portuguese,06D,A
Staten Island,Pizza,06D,A
Manhattan,Chicken,02B,A
Brooklyn,Steakhouse,10F,A
Bronx,Mexican,04C,Z
Brooklyn,Chicken,10F,C
Manhattan,Coffee/Tea,05E,C
Manhattan,Juice, Smoothies, Fruit Salads,04H,A
Manhattan,American,10F,A
Queens,Latin American,10B,A
Bronx,Chinese,08A,A
Manhattan,American,08A,A
Manhattan,American,06E,A
Brooklyn,Coffee/Tea,10H,B
Brooklyn,Frozen Desserts,08A,A
Brooklyn,Caribbean,04L,A
Manhattan,Coffee/Tea,10D,A
Queens,Pizza,08A,A
Brooklyn,American,06D,A
Manhattan,French,06C,Z
Brooklyn,Coffee/Tea,06C,A
Queens,Pancakes/Waffles,04N,B
Manhattan,Seafood,04N,A
Queens,American,10F,C
Bronx,Chicken,10G,C
Staten Island,American,02H,A
Manhattan,Indian,04N,C
Queens,Coffee/Tea,08A,A
Brooklyn,Japanese,10B,A
Queens,Caribbean,06D,A
Manhattan,Asian/Asian Fusion,10G,A
Manhattan,Chinese,08A,Z
Manhattan,Mexican,10F,A
Brooklyn,Donuts,04N,A
Brooklyn,Coffee/Tea,04O,A
Manhattan,Coffee/Tea,06C,A
Staten Island,Japanese,05C,A
Brooklyn,American,04A,Z
Manhattan,French,04N,A
Manhattan,Italian,04L,B
Manhattan,American,06D,A
Manhattan,Mediterranean,06C,B
Brooklyn,Japanese,06C,A
Brooklyn,American,04H,A
Brooklyn,Chinese,04L,A
Manhattan,Korean,08A,A
Brooklyn,Sandwiches,06D,A
Queens,American,02G,B
Manhattan,American,04N,A
Queens,Caribbean,10F,A
Manhattan,Donuts,06C,A
Manhattan,Korean,10F,A
Brooklyn,Caribbean,06D,A
Manhattan,Japanese,06F,B
Queens,Spanish,10B,C
Bronx,Bakery Products/Desserts,10F,A
Queens,Barbecue,04L,B
Staten Island,Mediterranean,10B,A
Brooklyn,Bagels/Pretzels,06D,A
Queens,Korean,06C,N
Queens,Juice, Smoothies, Fruit Salads,04H,A
Manhattan,French,02B,A
Queens,Middle Eastern,10B,A
Manhattan,Steakhouse,06D,A
Manhattan,Russian,06C,A
Queens,Peruvian,06D,B
Brooklyn,Frozen Desserts,08C,A
Brooklyn,Coffee/Tea,06E,A
Manhattan,American,08A,C
Bronx,Chinese,10B,A
Brooklyn,American,05D,A
Queens,Peruvian,04L,B
Brooklyn,Tex-Mex,02G,A
Brooklyn,Italian,04N,A
Manhattan,Coffee/Tea,02G,A
Manhattan,Vegetarian,09A,A
Queens,American,10F,A
Staten Island,Italian,06B,C
Manhattan,Italian,04L,A
Brooklyn,American,06D,B
Manhattan,Coffee/Tea,02G,A
Manhattan,Asian/Asian Fusion,02G,B
Brooklyn,American,04L,B
Manhattan,Mediterranean,02G,A
Brooklyn,American,02G,N
Queens,Caribbean,10F,A
Manhattan,Bakery Products/Desserts,05D,A
Brooklyn,Jewish/Kosher,08C,A
Queens,Pizza,06B,A
Queens,Latin American,10F,A
Brooklyn,Bakery Products/Desserts,05H,C
Brooklyn,American,10G,A
Bronx,Pizza,06D,A
Brooklyn,Chinese,10G,B
Brooklyn,Jewish/Kosher,10F,A
Queens,Mediterranean,10A,Z
Brooklyn,Turkish,10B,N
Manhattan,American,02A,A
Brooklyn,Coffee/Tea,08A,N
Bronx,Caribbean,08A,A
Queens,Bakery Products/Desserts,06D,B
Manhattan,Coffee/Tea,06D,B
Manhattan,American,04N,N
Queens,Chinese,02G,A
Manhattan,Italian,04C,A
